CIF, CID, TYPE, CLOSE_DATE, DLY_CASA, DLY_FUNS_TRANSFER, DLY_SHORT_TERM_DEPOSIT, DLY_LONG_TERM_DEPOSIT, DLY_INTEREST_RATE, DLY_PROFITS, NBR_REMAIN_DAY, ES_PROFITS, COB_DT;
a, a1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-20;
a, a2, 12, 2024-12-31, 100, 100, 100, 100, 5.0, 10, 10, 10, 2024-10-20;
b, b1, 36, 2026-12-31, 100, 100, 100, 100, 5.5, 10, 10, 10, 2024-10-20;
c, c1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-20;
d, d1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-20;
d, d1, 6, 2024-12-31, 6, 100, 100, 100, 100, 4.5, 10, 10, 10, 2024-10-20;
a, a1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-19;
a, a2, 12, 2024-12-31, 100, 100, 100, 100, 5.0, 10, 10, 10, 2024-10-19;
b, b1, 36, 2026-12-31, 100, 100, 100, 100, 5.5, 10, 10, 10, 2024-10-19;
c, c1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-19;
d, d1, DDL, 9999-12-31, 100, 100, 100, 100, 0.1, 10, 10, 10, 2024-10-19;
d, d1, 6, 2024-12-31, 100, 100, 100, 100, 4.5, 10, 10, 10, 2024-10-19;
